Doc,Sum,Subject,Stems
cr1761,"Over the past five years, Somalia has marked important milestones in rebuilding its economy and normalizing relations with international financial institutions. After more than two decades of a civil war that caused significant damage to the countryÛªs social and economic infrastructure, the Federal Government of Somalia (FGS) was elected and recognized by the international community in 2012. With donorsÛª support, progress is being made in the FGSÛªs efforts to improve security, capacity development, and state building. However, significant challenges remain ahead to rebuild the economy and institutions and improve social conditions. The IMF resumed its relationship with Somalia in 2013 and has since been heavily involved in the provision 
of policy advice and technical assistance, particularly in the context of the 12-month Staff-Monitored Program (SMP) which was approved by the IMF Managing Director in May 2016. Despite a very difficult political environment and complex clan politics, the FGS continues to make significant efforts toward restoring its key economic and financial institutions and keeping the SMP on track.","['Article IV consultation reports', 'Balance of payments statistics', 'Commercial banks', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Letters of Intent', 'Press releases', 'Revenue mobilization', 'Somalia', 'Staff Reports', 'Staff-monitored programs', 'Tax revenues']","['two', 'communiti', 'remain', 'smp', 'director', 'feder', 'normal', 'caus', 'provis', 'rebuild', 'howev', 'build', 'despit', 'state', 'make', 'veri', 'progress', 'ahead', 'econom', 'capac', 'develop', 'involv', 'clan', 'relationship', 'polit', 'somalia', 'technic', 'may', 'complex', 'keep', 'track', 'improv', 'signific', 'decad', 'staff-monitor', 'toward', 'intern', 'institut', 'made', 'country\x89ûª', 'fgs\x89ûªs', 'polici', 'fgs', 'resum', 'particular', 'civil', 'restor', 'infrastructur', 'context', 'year', 'recogn', 'advic', 'condit', 'difficult', 'continu', 'manag', 'approv', 'key', 'past', 'war', '12-month', 'relat', 'damag', 'donors\x89ûª', 'mileston', 'elect', 'support', 'social', 'environ', 'mark', 'govern', 'assist', 'effort', 'secur', 'program', 'imf', 'five', 'financi', 'sinc', 'import', 'heavili', 'challeng', 'economi']"
cr1762,"The lifting of nuclear sanctions under the Joint Comprehensive Plan of Action (JCPOA) has spurred growth, but banking system weaknesses, structural bottlenecks, and hesitation by foreign banks to re-establish financial links have held back expansion of non-oil activity.","['Article IV consultation reports', 'Bank reforms', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'Fiscal policy', 'Fiscal reforms', 'Inflation', 'Iran, Islamic Republic of', 'Monetary policy', 'Multiple currency practices', 'Press releases', 'Staff Reports']","['weak', 'comprehens', 'action', 'growth', 'activ', 'hesit', 'jcpoa', 'structur', 'held', 'system', 'expans', 're-establish', 'lift', 'spur', 'plan', 'foreign', 'link', 'bottleneck', 'nuclear', 'back', 'joint', 'bank', 'financi', 'non-oil', 'sanction']"
cr1759,"Economic growth is estimated to have increased to 4.6 percent in 2016 from 3.5 percent in 2015, helped by a strong 2016-17 crop year and despite continued weakness in the oil and mining sectors, adverse spillovers from the economic downturn in Nigeria and continued elevated security threats. Inflation remains subdued. Notwithstanding recent macroeconomic gains, Niger still ranks last on the UNÛªs Human Development Index with growth barely above the estimated rate of population growth (4.1 percent a year). President Issoufou secured a second term in the presidential and legislative elections held in February-March 2016, with the new administration reaffirming a focus on reinvigorating growth to create more employment opportunities, including by addressing infrastructure gaps, while strengthening food security.","['Article IV consultation reports', 'Bank supervision', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Extended Credit Facility', 'Fiscal policy', 'Government expenditures', 'Letters of Intent', 'Niger', 'Press releases', 'Staff Reports']","['still', 'gap', 'remain', 'last', 'weak', 'index', 'growth', 'term', 'increas', 'inflat', 'despit', 'gain', 'issoufou', 'food', 'human', 'second', 'econom', 'includ', 'develop', 'strong', 'new', 'macroeconom', 'elev', 'sector', 'help', 'crop', 'reinvigor', 'niger', 'employ', 'un\x89ûª', 'rate', 'reaffirm', 'infrastructur', 'year', 'threat', 'mine', 'focus', 'percent', 'downturn', 'continu', 'recent', 'legisl', 'bare', 'elect', 'oil', 'popul', 'rank', 'opportun', 'advers', 'nigeria', 'subdu', 'presid', 'creat', 'strengthen', 'notwithstand', 'estim', 'secur', 'abov', 'presidenti', 'february-march', 'spillov', 'administr', 'held', 'address']"
cr1754,"The Indian economy has recorded strong growth in recent years, helped by a large terms of trade gain, positive policy actions including implementation of key structural reforms, a return to normal monsoon rainfall, and reduced external vulnerabilities. Inflation has remained low after the collapse in global commodity prices, a range of supply-side measures, and a relatively tight monetary stance. Key macroeconomic challenges include persistently-high household inflation expectations and large fiscal deficits, which limit policy space for supporting growth through demand measures. Supply bottlenecks and structural impediments are the main constraints to medium-term growth and job creation.","['Article IV consultation reports', 'Banks', 'Corporate sector', 'Economic growth', 'Economic indicators', 'Financial sector', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'India', 'Labor market reforms', 'Monetary policy', 'Press releases', 'Public debt', 'Staff Reports']","['remain', 'constraint', 'measur', 'stanc', 'medium-term', 'normal', 'household', 'growth', 'term', 'action', 'inflat', 'gain', 'collaps', 'expect', 'creation', 'includ', 'strong', 'limit', 'macroeconom', 'larg', 'monsoon', 'trade', 'help', 'polici', 'structur', 'vulner', 'commod', 'suppli', 'main', 'tight', 'posit', 'implement', 'low', 'year', 'supply-sid', 'rang', 'persistently-high', 'recent', 'key', 'reduc', 'deficit', 'global', 'extern', 'bottleneck', 'relat', 'support', 'job', 'space', 'indian', 'reform', 'price', 'demand', 'record', 'monetari', 'rainfal', 'return', 'fiscal', 'impedi', 'challeng', 'economi']"
cr1756,"Malta has recorded robust growth in recent years. Vibrant domestic demand, favorable external conditions, and further progress with structural reforms supported solid job creation, particularly in services, and reduced unemployment to record-lows. This strong performance, together with fiscal discipline, contributed to continued deficit and public debt reduction while solid profitability and adequate capitalization have kept the banking system stable and resilient.","['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'Fiscal risk', 'Malta', 'Press releases', 'Private sector', 'Public enterprises', 'Staff Reports']","['growth', 'capit', 'progress', 'creation', 'resili', 'strong', 'adequ', 'public', 'solid', 'profit', 'structur', 'system', 'stabl', 'perform', 'particular', 'favor', 'vibrant', 'reduct', 'kept', 'year', 'record-low', 'condit', 'continu', 'deficit', 'recent', 'domest', 'reduc', 'togeth', 'malta', 'extern', 'support', 'job', 'contribut', 'debt', 'reform', 'demand', 'record', 'robust', 'disciplin', 'fiscal', 'unemploy', 'bank', 'servic']"
cr1753,"Growth remains strong, although it has slowed as the economy faces headwinds from major trading partners, low metals prices and a slowdown in agriculture. Inflation has risen slightly but remains contained. Domestic risks include a sustained reversal of fiscal consolidation, high public debt and weak public banks. On the external front, a tightly managed and overvalued exchange rate, low reserves and dollarization make Laos vulnerable to terms of trade shocks or capital flows reversals.","['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Flexible exchange rate policy', 'Lao P. D..R.', 'Millennium Development Goals', 'Monetary policy', 'Press releases', 'Reserves accumulation', 'Staff Reports']","['sustain', 'remain', 'slow', 'weak', 'lao', 'growth', 'face', 'major', 'inflat', 'make', 'term', 'metal', 'capit', 'includ', 'shock', 'risk', 'strong', 'flow', 'risen', 'public', 'front', 'trade', 'slowdown', 'vulner', 'reserv', 'consolid', 'although', 'tight', 'rate', 'slight', 'low', 'manag', 'domest', 'extern', 'dollar', 'debt', 'high', 'price', 'exchang', 'partner', 'overvalu', 'agricultur', 'fiscal', 'headwind', 'bank', 'contain', 'revers', 'economi']"
cr1750,"In recent years, the Macao SAR economy contracted by a cumulative 30 percent due to a sharp fall in spending by gaming tourists from Mainland China. Spillovers to the rest of the economy were relatively contained with unemployment staying under 2 percent and asset quality in the financial sector unaffected. Nonetheless, the size and speed of the shock underscored the need to transition to a more diversified economic model going forward. Fortunately, Macao SAR is entering this transition from a position of strength with large fiscal and external buffers.","['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Currency boards', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Labor markets', 'Macao SAR', 'Press releases', 'Staff Reports', 'Tourism']","['go', 'model', 'sharp', 'stay', 'speed', 'diversifi', 'shock', 'econom', 'size', 'strength', 'need', 'buffer', 'qualiti', 'fortun', 'larg', 'game', 'due', 'rest', 'asset', 'sector', 'enter', 'macao', 'unaffect', 'transit', 'underscor', 'posit', 'year', 'percent', 'recent', 'cumul', 'nonetheless', 'forward', 'extern', 'relat', 'contract', 'tourist', 'mainland', 'spend', 'china', 'spillov', 'fiscal', 'unemploy', 'financi', 'contain', 'fall', 'sar', 'economi']"
cr1742,"Australia has enjoyed a robust economic performance despite the commodity price and mining investment bust. The moderate impact of the large shocks since 2011 reflects prompt monetary easing, a flexible exchange rate acting as a shock absorber, export orientation to the dynamic Asia region, flexible labor markets, relatively high population growth, and strong institutions. Nevertheless, Australia has also been confronted with symptoms of the ÛÏnew mediocreÛ since the Global Financial Crisis, including a downshift in average GDP growth. And with declining interest rates, already high house prices and household debt ratios have started to rise again.","['Article IV consultation reports', 'Australia', 'Balance of payments statistics', 'Debt sustainability analysis', 'Demand', 'Economic growth', 'Economic indicators', 'External Sector Report', 'Fiscal consolidation', 'Fiscal policy', 'Inflation targeting', 'Labor markets', 'Monetary policy', 'Press releases', 'Staff Reports']","['prompt', 'moder', 'orient', 'reflect', 'growth', 'gdp', 'despit', 'flexibl', 'nevertheless', 'household', 'crisi', 'dynam', 'shock', 'includ', 'econom', 'impact', 'invest', 'strong', 'bust', 'mediocre\x89û\x9d', 'rise', 'larg', 'institut', 'averag', 'hous', 'commod', 'perform', 'market', 'symptom', 'enjoy', 'rate', 'region', 'mine', 'also', 'export', 'global', 'relat', '\x89ûïnew', 'interest', 'downshift', 'confront', 'popul', 'start', 'australia', 'labor', 'debt', 'eas', 'price', 'high', 'declin', 'ratio', 'absorb', 'monetari', 'exchang', 'robust', 'act', 'asia', 'alreadi', 'financi', 'sinc']"
cr1740,"Despite the policy constraints imposed by its membership in the currency union, Greece has made significant progress in unwinding its macroeconomic imbalances. But extensive fiscal consolidation and internal devaluation have come with substantial costs for society, which contributed to delays in reform implementation and to policy reversals since the last Article IV Consultation, culminating in a renewed crisis of confidence in 2015. Since then, the situation has stabilized, and growth is estimated to have resumed modestly in 2016. Notwithstanding the substantial progress achieved by Greece, it still faces fundamental challenges: (i) a vulnerable structure of the public finances; (ii) significant tax evasion and an ineffective tax administration; (iii) impaired bank and private sector balance sheets; and (iv) pervasive structural obstacles to investment and growth. Moreover, its public debt remains highly unsustainable, despite generous official relief already provided by its European partners.  Addressing these remaining challenges and restoring debt sustainability are essential to creating a vibrant and dynamic private sector capable of generating sustainable and equitable growth and employment.","['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Capital controls', 'Debt relief', 'Debt sustainability analysis', 'Exchange restrictions', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'Greece', 'Press releases', 'Staff Reports', 'Tax evasion']","['last', 'unwind', 'public', 'currenc', 'made', 'european', 'societi', 'vibrant', 'unsustain', 'tax', 'come', 'impos', 'situat', 'pervas', 'moreov', 'estim', 'essenti', 'administr', 'offici', 'alreadi', 'fiscal', 'bank', 'address', 'revers', 'still', 'sustain', 'obstacl', 'remain', 'growth', 'face', 'greec', 'signific', 'vulner', 'implement', 'cost', 'ii', 'relief', 'renew', 'fundament', 'extens', 'articl', 'debt', 'evas', 'reform', 'modest', 'partner', 'impair', 'iv', 'culmin', 'capabl', 'imbal', 'constraint', 'despit', 'crisi', 'balanc', 'invest', 'financ', 'sheet', 'achiev', 'employ', 'generous', 'high', 'notwithstand', 'stabil', 'sinc', 'challeng', 'union', 'consult', 'provid', 'delay', 'privat', 'progress', 'dynam', 'confid', 'iii', 'substanti', 'devalu', 'macroeconom', 'generat', 'intern', 'sector', 'polici', 'structur', 'resum', 'consolid', 'restor', 'membership', 'equit', 'contribut', 'creat', 'ineffect']"
cr1739,"The oil price shock that started in mid-2014 has substantially reduced fiscal revenue and exports, with growth coming to a halt and inflation accelerating sharply. This has brought to the forefront the need to address more forcefully vulnerabilities and dependence on oil, and to diversify the economy. The authorities have taken steps to mitigate the impact of the external shock: an 18 percent of GDP improvement in the non-oil primary fiscal balance over 2015-16, mainly through spending cuts including the removal of fuel subsidies, has been implemented; and the kwanza has been devalued against the U.S. dollar by over 40 percent since September 2014, with international reserves being used to smooth the depreciation. However, the exchange rate has been re-pegged since April 2016 leading to an appreciation of the kwanza in real terms, and further policy actions are needed to continue adjusting the economy to the Û÷new normalÛª in the oil market and to return growth to a level consistent with poverty reduction.","['Angola', 'Article IV consultation reports', 'Bank supervision', 'Banking sector', 'Current account balances', 'Debt sustainability analysis', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Monetary policy', 'Oil prices', 'Oil revenues', 'Press releases', 'Staff Reports']","['step', 'forefront', 'kwanza', 'brought', 'growth', 'gdp', 'howev', 'inflat', 'diversifi', 'real', 're-peg', 'term', 'mitig', 'non-oil', 'balanc', 'halt', 'shock', 'primari', 'cut', 'includ', 'impact', 'remov', 'normal\x89ûª', 'smooth', 'depreci', 'substanti', 'need', 'devalu', 'lead', 'poverti', 'acceler', 'improv', 'taken', 'u.s.', 'septemb', 'intern', 'use', 'polici', 'fuel', 'adjust', 'vulner', 'reserv', 'sinc', 'main', 'action', 'rate', 'market', 'reduct', 'sharpli', 'implement', 'come', 'consist', 'percent', 'continu', 'export', 'mid-2014', 'reduc', 'extern', 'subsidi', 'oil', 'dollar', 'start', 'price', 'depend', 'april', 'spend', 'exchang', 'appreci', '\x89û÷new', 'return', 'level', 'fiscal', 'revenu', 'author', 'forc', 'address', 'economi']"
