Subject,Author,Description,Filename,PublicationDate,Series,QueryPage,PageLink,PDFLink,PDFSize
"['Article IV consultation reports', 'Balance of payments statistics', 'Commercial banks', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Letters of Intent', 'Press releases', 'Revenue mobilization', 'Somalia', 'Staff Reports', 'Staff-monitored programs', 'Tax revenues']",International Monetary Fund. Middle East and Central Asia Dept.,"Over the past five years, Somalia has marked important milestones in rebuilding its economy and normalizing relations with international financial institutions. After more than two decades of a civil war that caused significant damage to the country’s social and economic infrastructure, the Federal Government of Somalia (FGS) was elected and recognized by the international community in 2012. With donors’ support, progress is being made in the FGS’s efforts to improve security, capacity development, and state building. However, significant challenges remain ahead to rebuild the economy and institutions and improve social conditions. The IMF resumed its relationship with Somalia in 2013 and has since been heavily involved in the provision 
of policy advice and technical assistance, particularly in the context of the 12-month Staff-Monitored Program (SMP) which was approved by the IMF Managing Director in May 2016. Despite a very difficult political environment and complex clan politics, the FGS continues to make significant efforts toward restoring its key economic and financial institutions and keeping the SMP on track.",cr1761,"February 27, 2017",Country Report No. 17/61,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/27/Somalia-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44706,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1761.ashx,1260 KB
"['Article IV consultation reports', 'Bank reforms', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'Fiscal policy', 'Fiscal reforms', 'Inflation', 'Iran, Islamic Republic of', 'Monetary policy', 'Multiple currency practices', 'Press releases', 'Staff Reports']",International Monetary Fund. Middle East and Central Asia Dept.,"The lifting of nuclear sanctions under the Joint Comprehensive Plan of Action (JCPOA) has spurred growth, but banking system weaknesses, structural bottlenecks, and hesitation by foreign banks to re-establish financial links have held back expansion of non-oil activity.",cr1762,"February 27, 2017",Country Report No. 17/62,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/27/Islamic-Republic-of-Iran-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-44707,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1762.ashx,1535 KB
"['Article IV consultation reports', 'Bank supervision', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Extended Credit Facility', 'Fiscal policy', 'Government expenditures', 'Letters of Intent', 'Niger', 'Press releases', 'Staff Reports']",International Monetary Fund. African Dept.,"Economic growth is estimated to have increased to 4.6 percent in 2016 from 3.5 percent in 2015, helped by a strong 2016-17 crop year and despite continued weakness in the oil and mining sectors, adverse spillovers from the economic downturn in Nigeria and continued elevated security threats. Inflation remains subdued. Notwithstanding recent macroeconomic gains, Niger still ranks last on the UN’s Human Development Index with growth barely above the estimated rate of population growth (4.1 percent a year). President Issoufou secured a second term in the presidential and legislative elections held in February-March 2016, with the new administration reaffirming a focus on reinvigorating growth to create more employment opportunities, including by addressing infrastructure gaps, while strengthening food security.",cr1759,"February 24, 2017",Country Report No. 17/59,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/24/Niger-2016-Article-IV-Consultation-and-Request-for-a-Three-Year-Arrangement-Under-the-44704,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1759.ashx,2674 KB
"['Article IV consultation reports', 'Banks', 'Corporate sector', 'Economic growth', 'Economic indicators', 'Financial sector', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'India', 'Labor market reforms', 'Monetary policy', 'Press releases', 'Public debt', 'Staff Reports']",International Monetary Fund. Asia and Pacific Dept,"The Indian economy has recorded strong growth in recent years, helped by a large terms of trade gain, positive policy actions including implementation of key structural reforms, a return to normal monsoon rainfall, and reduced external vulnerabilities. Inflation has remained low after the collapse in global commodity prices, a range of supply-side measures, and a relatively tight monetary stance. Key macroeconomic challenges include persistently-high household inflation expectations and large fiscal deficits, which limit policy space for supporting growth through demand measures. Supply bottlenecks and structural impediments are the main constraints to medium-term growth and job creation.",cr1754,"February 22, 2017",Country Report No. 17/54,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/22/India-2017-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-Executive-44670,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1754.ashx,3890 KB
"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'Fiscal risk', 'Malta', 'Press releases', 'Private sector', 'Public enterprises', 'Staff Reports']",International Monetary Fund. European Dept.,"Malta has recorded robust growth in recent years. Vibrant domestic demand, favorable external conditions, and further progress with structural reforms supported solid job creation, particularly in services, and reduced unemployment to record-lows. This strong performance, together with fiscal discipline, contributed to continued deficit and public debt reduction while solid profitability and adequate capitalization have kept the banking system stable and resilient.",cr1756,"February 21, 2017",Country Report No. 17/56,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/21/Malta-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-Executive-44672,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1756.ashx,1646 KB
"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Flexible exchange rate policy', 'Lao P. D..R.', 'Millennium Development Goals', 'Monetary policy', 'Press releases', 'Reserves accumulation', 'Staff Reports']",International Monetary Fund. Asia and Pacific Dept,"Growth remains strong, although it has slowed as the economy faces headwinds from major trading partners, low metals prices and a slowdown in agriculture. Inflation has risen slightly but remains contained. Domestic risks include a sustained reversal of fiscal consolidation, high public debt and weak public banks. On the external front, a tightly managed and overvalued exchange rate, low reserves and dollarization make Laos vulnerable to terms of trade shocks or capital flows reversals.",cr1753,"February 15, 2017",Country Report No. 17/53,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/15/Lao-People-s-Democratic-Republic-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-44669,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1753.ashx,2986 KB
"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Currency boards', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Labor markets', 'Macao SAR', 'Press releases', 'Staff Reports', 'Tourism']",International Monetary Fund. Asia and Pacific Dept,"In recent years, the Macao SAR economy contracted by a cumulative 30 percent due to a sharp fall in spending by gaming tourists from Mainland China. Spillovers to the rest of the economy were relatively contained with unemployment staying under 2 percent and asset quality in the financial sector unaffected. Nonetheless, the size and speed of the shock underscored the need to transition to a more diversified economic model going forward. Fortunately, Macao SAR is entering this transition from a position of strength with large fiscal and external buffers.",cr1750,"February 14, 2017",Country Report No. 17/50,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/14/People-s-Republic-of-China-Macao-Special-Administrative-Region-2016-Article-IV-Consultation-44661,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1750.ashx,1555 KB
"['Article IV consultation reports', 'Australia', 'Balance of payments statistics', 'Debt sustainability analysis', 'Demand', 'Economic growth', 'Economic indicators', 'External Sector Report', 'Fiscal consolidation', 'Fiscal policy', 'Inflation targeting', 'Labor markets', 'Monetary policy', 'Press releases', 'Staff Reports']",International Monetary Fund. Asia and Pacific Dept,"Australia has enjoyed a robust economic performance despite the commodity price and mining investment bust. The moderate impact of the large shocks since 2011 reflects prompt monetary easing, a flexible exchange rate acting as a shock absorber, export orientation to the dynamic Asia region, flexible labor markets, relatively high population growth, and strong institutions. Nevertheless, Australia has also been confronted with symptoms of the “new mediocre” since the Global Financial Crisis, including a downshift in average GDP growth. And with declining interest rates, already high house prices and household debt ratios have started to rise again.",cr1742,"February 9, 2017",Country Report No. 17/42,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/09/Australia-2016-Article-IV-Consultation-Press-Release-Staff-Report-Staff-Statement-and-44632,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1742.ashx,2049 KB
"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Capital controls', 'Debt relief', 'Debt sustainability analysis', 'Exchange restrictions', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'Greece', 'Press releases', 'Staff Reports', 'Tax evasion']",International Monetary Fund. European Dept.,"Despite the policy constraints imposed by its membership in the currency union, Greece has made significant progress in unwinding its macroeconomic imbalances. But extensive fiscal consolidation and internal devaluation have come with substantial costs for society, which contributed to delays in reform implementation and to policy reversals since the last Article IV Consultation, culminating in a renewed crisis of confidence in 2015. Since then, the situation has stabilized, and growth is estimated to have resumed modestly in 2016. Notwithstanding the substantial progress achieved by Greece, it still faces fundamental challenges: (i) a vulnerable structure of the public finances; (ii) significant tax evasion and an ineffective tax administration; (iii) impaired bank and private sector balance sheets; and (iv) pervasive structural obstacles to investment and growth. Moreover, its public debt remains highly unsustainable, despite generous official relief already provided by its European partners.  Addressing these remaining challenges and restoring debt sustainability are essential to creating a vibrant and dynamic private sector capable of generating sustainable and equitable growth and employment.",cr1740,"February 7, 2017",Country Report No. 17/40,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/07/Greece-2017-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44630,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1740.ashx,3309 KB
"['Angola', 'Article IV consultation reports', 'Bank supervision', 'Banking sector', 'Current account balances', 'Debt sustainability analysis', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Monetary policy', 'Oil prices', 'Oil revenues', 'Press releases', 'Staff Reports']",International Monetary Fund. African Dept.,"The oil price shock that started in mid-2014 has substantially reduced fiscal revenue and exports, with growth coming to a halt and inflation accelerating sharply. This has brought to the forefront the need to address more forcefully vulnerabilities and dependence on oil, and to diversify the economy. The authorities have taken steps to mitigate the impact of the external shock: an 18 percent of GDP improvement in the non-oil primary fiscal balance over 2015-16, mainly through spending cuts including the removal of fuel subsidies, has been implemented; and the kwanza has been devalued against the U.S. dollar by over 40 percent since September 2014, with international reserves being used to smooth the depreciation. However, the exchange rate has been re-pegged since April 2016 leading to an appreciation of the kwanza in real terms, and further policy actions are needed to continue adjusting the economy to the ‘new normal’ in the oil market and to return growth to a level consistent with poverty reduction.",cr1739,"February 6, 2017",Country Report No. 17/39,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2011&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/06/Angola-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44628,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1739.ashx,1742 KB
